 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
   0.819   1.645   0.742  <-- axes of phase ellipsoid
   90.00    0.01    0.00  <-- Euler angles of phase ellipsoid (deg)
B     5000
    2.13   55.48   70.93        0.0000267
  -92.35   68.20   44.45        0.0000144
   16.53   97.61   22.53        0.0001021
  126.58   80.79   10.25        0.0000246
  -34.53   65.23   24.74        0.0000159
 -117.48   76.87   61.19        0.0000617
 -129.95   77.70   77.52        0.0000685
  142.15   82.16   94.77        0.0000310
 -148.95   46.18   53.29        0.0000072
  117.22   95.86   69.92        0.0000660
 -141.54   44.84   66.76        0.0001125
 -120.05   71.86   60.13        0.0000254
  -12.34    1.92   38.20        0.0000310
 -168.96   41.10   53.62        0.0000057
    0.51   22.12   49.61        0.0000115
  -89.44   63.88   74.42        0.0000283
   48.48   57.33   61.11        0.0000480
  111.60   84.71   57.54        0.0001164
  -65.01   26.60   65.43        0.0000318
  178.92   63.42   39.57        0.0000186
 -178.82    3.80  115.98        0.0000221
  -79.17   23.60   -6.98        0.0000319
  -88.65   42.10   86.28        0.0000330
 -117.08   39.79   42.36        0.0004877
   15.95   55.89   59.51        0.0000979
   49.04   56.71   55.03        0.0000521
  -47.79   73.49   61.90        0.0004528
 -108.58   54.74   26.07        0.0000942
   12.50   73.82   57.87        0.0003093
  133.67   96.48   81.16        0.0000396
 -160.43   37.32   96.76        0.0001584
   42.45   69.23   67.83        0.0001935
   12.36   88.94   18.45        0.0000564
   36.73   91.73    6.05        0.0001118
  176.25   75.38   47.24        0.0002059
    0.73   61.50   40.46        0.0000943
  -17.17   46.88    4.23        0.0000279
   47.01   83.35   81.80        0.0001727
 -122.43   68.76   66.66        0.0001886
   33.70   30.38   74.44        0.0001494
  -89.28   27.06   47.93        0.0006436
 -122.81   46.96   41.74        0.0000233
  129.40   48.09   40.90        0.0000115
  179.38   36.81   51.40        0.0000818
   95.14    2.98   38.66        0.0006449
  -73.14   29.32   70.04        0.0000304
   82.77   21.62   78.43        0.0004452
  116.42   52.41   49.76        0.0000117
  -12.92    6.17   40.24        0.0000349
  -31.25   72.61   96.48        0.0002213
 -174.47   67.47   23.11        0.0000954
  133.43   74.09   19.16        0.0002073
 -123.66   55.29   48.92        0.0000197
  119.63   78.19   14.14        0.0000229
  155.18    7.82   51.11        0.0000199
   35.97   34.22   72.94        0.0001957
 -109.75   68.32   62.05        0.0001203
   -7.21   19.21  -21.52        0.0000443
  -46.13   58.37   27.78        0.0001155
   56.70   97.72   13.55        0.0000360
  116.37   40.32   55.71        0.0000354
  -57.69   79.02   12.06        0.0000400
  112.90   65.86   46.46        0.0001111
 -156.72   90.33    7.35        0.0000618
   32.63   48.39   52.66        0.0003317
  -10.92   18.44  -14.91        0.0000415
  -12.93   73.44   27.43        0.0000317
  115.72   45.50   57.91        0.0000479
  170.09   23.98   55.72        0.0003732
