# Header: Project3::Mg-längs_200x::New Partition CI>=0.1::Harmonic: L=21, HW=5.0   7/27/2023
#
# Series Rank (l): 21
# Gaussian Smoothing: 5.0º
# Sample Symmetry: Triclinic
# l mu nu       real  imaginary
# -- -- -- ---------- ----------
 0  1  1   1.000000   0.000000
 2  1  1  -0.046243   0.000000
 2  1  2  -0.103531   0.087904
 2  1  3   0.103531   0.087904
 2  1  4  -0.460578  -0.485852
 2  1  5  -0.460578   0.485852
 4  1  1   0.208114   0.000000
 4  1  2   0.074677  -0.003601
 4  1  3  -0.074677  -0.003601
 4  1  4   0.144399   0.080155
 4  1  5   0.144399  -0.080155
 4  1  6   0.134946   0.087689
 4  1  7  -0.134946   0.087689
 4  1  8   0.035790   0.361208
 4  1  9   0.035790  -0.361208
 6  1  1   0.049963   0.000000
 6  1  2  -0.062915   0.180733
 6  1  3   0.062915   0.180733
 6  1  4   0.082355  -0.045715
 6  1  5   0.082355   0.045715
 6  1  6  -0.097896   0.096002
 6  1  7   0.097896   0.096002
 6  1  8   0.001359  -0.156185
 6  1  9   0.001359   0.156185
 6  1 10  -0.030620  -0.035764
 6  1 11   0.030620  -0.035764
 6  1 12   0.159833  -0.049666
 6  1 13   0.159833   0.049666
 6  2  1  -0.133277   0.000000
 6  2  2   0.018669  -0.001855
 6  2  3  -0.018669  -0.001855
 6  2  4  -0.082169  -0.037106
 6  2  5  -0.082169   0.037106
 6  2  6  -0.060707   0.002937
 6  2  7   0.060707   0.002937
 6  2  8  -0.257632  -0.062426
 6  2  9  -0.257632   0.062426
 6  2 10  -0.118198   0.017985
 6  2 11   0.118198   0.017985
 6  2 12  -0.396052  -0.082411
 6  2 13  -0.396052   0.082411
 7  1  1   0.000000  -0.004652
 7  1  2  -0.311131   0.091622
 7  1  3  -0.311131  -0.091622
 7  1  4   0.102023   0.042953
 7  1  5  -0.102023   0.042953
 7  1  6   0.193210   0.211979
 7  1  7   0.193210  -0.211979
 7  1  8   0.126419   0.032886
 7  1  9  -0.126419   0.032886
 7  1 10   0.017453   0.174062
 7  1 11   0.017453  -0.174062
 7  1 12  -0.018968   0.069768
 7  1 13   0.018968   0.069768
 7  1 14  -0.139330   0.132655
 7  1 15  -0.139330  -0.132655
 8  1  1   0.846441   0.000000
 8  1  2   0.015321   0.156516
 8  1  3  -0.015321   0.156516
 8  1  4   0.513717   0.069394
 8  1  5   0.513717  -0.069394
 8  1  6  -0.112146   0.118872
 8  1  7   0.112146   0.118872
 8  1  8   0.330823   0.070066
 8  1  9   0.330823  -0.070066
 8  1 10  -0.001428  -0.036543
 8  1 11   0.001428  -0.036543
 8  1 12   0.392486   0.162695
 8  1 13   0.392486  -0.162695
 8  1 14  -0.171186   0.053730
 8  1 15   0.171186   0.053730
 8  1 16   0.227912   0.256663
 8  1 17   0.227912  -0.256663
 8  2  1   0.025436   0.000000
 8  2  2   0.106773   0.090307
 8  2  3  -0.106773   0.090307
 8  2  4  -0.118295   0.027481
 8  2  5  -0.118295  -0.027481
 8  2  6   0.060195   0.019873
 8  2  7  -0.060195   0.019873
 8  2  8   0.117059  -0.156922
 8  2  9   0.117059   0.156922
 8  2 10  -0.076933   0.000806
 8  2 11   0.076933   0.000806
 8  2 12  -0.022389   0.195128
 8  2 13  -0.022389  -0.195128
 8  2 14   0.063102   0.015615
 8  2 15  -0.063102   0.015615
 8  2 16  -0.006176   0.306266
 8  2 17  -0.006176  -0.306266
 9  1  1   0.000000  -0.032757
 9  1  2   0.014292  -0.040153
 9  1  3   0.014292   0.040153
 9  1  4   0.037239  -0.048200
 9  1  5  -0.037239  -0.048200
 9  1  6   0.045787   0.066788
 9  1  7   0.045787  -0.066788
 9  1  8  -0.002876  -0.238032
 9  1  9   0.002876  -0.238032
 9  1 10   0.197266   0.089256
 9  1 11   0.197266  -0.089256
 9  1 12   0.031562   0.076445
 9  1 13  -0.031562   0.076445
 9  1 14  -0.094906   0.131403
 9  1 15  -0.094906  -0.131403
 9  1 16   0.154367  -0.111427
 9  1 17  -0.154367  -0.111427
 9  1 18  -0.010499   0.062036
 9  1 19  -0.010499  -0.062036
10  1  1  -0.124664   0.000000
10  1  2  -0.177712   0.053268
10  1  3   0.177712   0.053268
10  1  4  -0.009676  -0.224716
10  1  5  -0.009676   0.224716
10  1  6  -0.007062   0.036005
10  1  7   0.007062   0.036005
10  1  8  -0.035546  -0.167207
10  1  9  -0.035546   0.167207
10  1 10   0.077301   0.155224
10  1 11  -0.077301   0.155224
10  1 12   0.060255  -0.291503
10  1 13   0.060255   0.291503
10  1 14  -0.053858   0.001214
10  1 15   0.053858   0.001214
10  1 16   0.014331  -0.279585
10  1 17   0.014331   0.279585
10  1 18   0.092095   0.075751
10  1 19  -0.092095   0.075751
10  1 20   0.162830  -0.246344
10  1 21   0.162830   0.246344
10  2  1   0.004309   0.000000
10  2  2  -0.046266  -0.067189
10  2  3   0.046266  -0.067189
10  2  4  -0.034817  -0.096318
10  2  5  -0.034817   0.096318
10  2  6  -0.063671  -0.119128
10  2  7   0.063671  -0.119128
10  2  8  -0.087895   0.009631
10  2  9  -0.087895  -0.009631
10  2 10  -0.160072  -0.217212
10  2 11   0.160072  -0.217212
10  2 12  -0.299262  -0.191476
