# Header: Project1::Mg-längs_Rand_200x::New Partition mit CI>=0.1::Harmonic: L=21, HW=5.0   7/27/2023
#
# Series Rank (l): 21
# Gaussian Smoothing: 5.0º
# Sample Symmetry: Triclinic
# l mu nu       real  imaginary
# -- -- -- ---------- ----------
 0  1  1   1.000000   0.000000
 2  1  1  -1.118459   0.000000
 2  1  2  -0.041999  -0.101081
 2  1  3   0.041999  -0.101081
 2  1  4  -0.171417   0.982757
 2  1  5  -0.171417  -0.982757
 4  1  1   0.804543   0.000000
 4  1  2   0.184823   0.143707
 4  1  3  -0.184823   0.143707
 4  1  4   0.124098  -0.422038
 4  1  5   0.124098   0.422038
 4  1  6   0.101899  -0.162458
 4  1  7  -0.101899  -0.162458
 4  1  8  -0.956730  -0.086886
 4  1  9  -0.956730   0.086886
 6  1  1  -0.432800   0.000000
 6  1  2  -0.198793  -0.066092
 6  1  3   0.198793  -0.066092
 6  1  4  -0.081272   0.044408
 6  1  5  -0.081272  -0.044408
 6  1  6  -0.058832   0.152848
 6  1  7   0.058832   0.152848
 6  1  8   0.235143  -0.104031
 6  1  9   0.235143   0.104031
 6  1 10   0.202423   0.110248
 6  1 11  -0.202423   0.110248
 6  1 12  -0.012008  -0.445442
 6  1 13  -0.012008   0.445442
 6  2  1  -0.149756   0.000000
 6  2  2   0.103857  -0.190791
 6  2  3  -0.103857  -0.190791
 6  2  4   0.124242  -0.068236
 6  2  5   0.124242   0.068236
 6  2  6  -0.041818   0.105759
 6  2  7   0.041818   0.105759
 6  2  8   0.081096   0.114283
 6  2  9   0.081096  -0.114283
 6  2 10  -0.136125  -0.100468
 6  2 11   0.136125  -0.100468
 6  2 12  -0.073088   0.157509
 6  2 13  -0.073088  -0.157509
 7  1  1   0.000000   0.021985
 7  1  2   0.007015  -0.099527
 7  1  3   0.007015   0.099527
 7  1  4  -0.091000  -0.058576
 7  1  5   0.091000  -0.058576
 7  1  6  -0.102836  -0.047497
 7  1  7  -0.102836   0.047497
 7  1  8   0.173192  -0.063090
 7  1  9  -0.173192  -0.063090
 7  1 10   0.002360  -0.050422
 7  1 11   0.002360   0.050422
 7  1 12  -0.092027  -0.039699
 7  1 13   0.092027  -0.039699
 7  1 14  -0.015805  -0.016386
 7  1 15  -0.015805   0.016386
 8  1  1   0.444900   0.000000
 8  1  2   0.038264   0.037654
 8  1  3  -0.038264   0.037654
 8  1  4   0.100715  -0.104215
 8  1  5   0.100715   0.104215
 8  1  6  -0.110033  -0.159819
 8  1  7   0.110033  -0.159819
 8  1  8  -0.032292   0.061101
 8  1  9  -0.032292  -0.061101
